Method,Candidate,Score
Plurality,Poliquin,133993.0
Plurality,Golden,131822.0
Plurality,Bond,16415.0
Plurality,Hoar,6782.0
Majority,Bond,0.0
Majority,Golden,0.0
Majority,Hoar,0.0
Majority,Poliquin,0.0
Borda,Poliquin,447466.0
Borda,Golden,444112.0
Borda,Bond,226203.0
Borda,Hoar,163804.0
IRV,Golden,4.0
IRV,Poliquin,3.0
IRV,Bond,2.0
IRV,Hoar,1.0
PluralityWithRunoff,Golden,142664.0
PluralityWithRunoff,Poliquin,139238.0
PluralityWithRunoff,Bond,0.0
PluralityWithRunoff,Hoar,0.0
Copeland,Golden,3.0
Copeland,Poliquin,2.0
Copeland,Bond,1.0
Copeland,Hoar,0.0
Dowdall,Poliquin,158508.1
Dowdall,Golden,151989.83
Dowdall,Bond,66191.67
Dowdall,Hoar,50707.5
Minimax,Golden,142664.0
Minimax,Poliquin,139238.0
Minimax,Bond,49385.0
Minimax,Hoar,43118.0
Baldwin,Poliquin,4.0
Baldwin,Golden,3.0
Baldwin,Bond,2.0
Baldwin,Hoar,1.0
CopelandBorda,Golden,206461.0
CopelandBorda,Poliquin,130946.0
CopelandBorda,Bond,43131.0
CopelandBorda,Hoar,0.0
