Method,Candidate,Score,NormalizedScore
Plurality,Poliquin,133993.0,1.0
Plurality,Golden,131822.0,0.9829338657820471
Plurality,Bond,16415.0,0.0757245835658866
Plurality,Hoar,6782.0,0.0
Majority,Bond,0.0,0.0
Majority,Golden,0.0,0.0
Majority,Hoar,0.0,0.0
Majority,Poliquin,0.0,0.0
Borda,Poliquin,447466.0,1.0
Borda,Golden,444112.0,0.9881760687014828
Borda,Bond,226203.0,0.21997659185932553
Borda,Hoar,163804.0,0.0
IRV,Golden,4.0,1.0
IRV,Poliquin,3.0,0.6666666666666666
IRV,Bond,2.0,0.3333333333333333
IRV,Hoar,1.0,0.0
PluralityWithRunoff,Golden,142664.0,1.0
PluralityWithRunoff,Poliquin,139238.0,0.9759855324398586
PluralityWithRunoff,Bond,0.0,0.0
PluralityWithRunoff,Hoar,0.0,0.0
Copeland,Golden,3.0,1.0
Copeland,Poliquin,2.0,0.6666666666666666
Copeland,Bond,1.0,0.3333333333333333
Copeland,Hoar,0.0,0.0
Dowdall,Poliquin,158508.1,1.0
Dowdall,Golden,151989.83,0.9395340100147864
Dowdall,Bond,66191.67,0.14363714116619014
Dowdall,Hoar,50707.5,0.0
Minimax,Golden,142664.0,1.0
Minimax,Poliquin,139238.0,0.9655837502260262
Minimax,Bond,49385.0,0.06295581942016756
Minimax,Hoar,43118.0,0.0
Baldwin,Poliquin,4.0,1.0
Baldwin,Golden,3.0,0.6666666666666666
Baldwin,Bond,2.0,0.3333333333333333
Baldwin,Hoar,1.0,0.0
CopelandBorda,Golden,206461.0,1.0
CopelandBorda,Poliquin,130946.0,0.6342408493613806
CopelandBorda,Bond,43131.0,0.20890628254246565
CopelandBorda,Hoar,0.0,0.0
